user_id,campaign_id,channel,device,country,segment,prior_visits_30d,prior_spend_180d,treatment_exposed,impressions,clicks,spend_usd,conversion,revenue_usd,roi,roi_calculated
221958,CMP003,Social,Desktop,AE,Food,3,93.14,0,9,1,0.29,0,0.0,-1.0,-1.0
771155,CMP006,Social,Mobile,IN,Food,0,55.14,0,16,1,0.37,0,0.0,-1.0,-1.0
231932,CMP004,Search,Mobile,FR,Tech,4,278.79,0,10,0,0.04,0,0.0,-1.0,-1.0
465838,CMP006,Search,Tablet,IN,Food,2,292.6,1,84,1,0.74,0,0.0,-1.0,-1.0
359178,CMP003,Search,Desktop,IN,Tech,4,16.98,0,8,0,0.03,0,0.0,-1.0,-1.0
744167,CMP004,Display,Mobile,IN,Outdoor,1,118.47,0,15,1,0.35,0,0.0,-1.0,-1.0
210268,CMP009,Search,Desktop,DE,Outdoor,4,56.64,1,83,3,1.26,0,0.0,-1.0,-1.0
832180,CMP005,Search,Desktop,IN,Health,3,67.26,1,80,3,1.15,0,0.0,-1.0,-1.0
154886,CMP007,Search,Desktop,UK,Food,6,194.8,0,10,1,0.29,0,0.0,-1.0,-1.0
237337,CMP010,Video,Mobile,UK,Outdoor,1,42.44,1,93,4,1.63,0,0.0,-1.0,-1.0
621430,CMP002,Video,Mobile,US,Outdoor,2,10.48,1,94,3,1.08,0,0.0,-1.0,-1.0
187498,CMP005,Social,Mobile,US,Fashion,1,57.2,1,87,2,0.89,0,0.0,-1.0,-1.0
999159,CMP009,Social,Desktop,AE,Fashion,1,114.86,1,89,0,0.39,0,0.0,-1.0,-1.0
275203,CMP003,Email,Mobile,IN,Tech,3,80.04,0,11,0,0.06,0,0.0,-1.0,-1.0
291335,CMP009,Search,Mobile,IN,Health,3,110.37,1,105,2,1.08,1,176.66,162.574,162.57407407407405
378167,CMP006,Search,Desktop,DE,Fashion,1,206.22,0,10,1,0.29,0,0.0,-1.0,-1.0
141090,CMP004,Search,Desktop,IN,Health,2,111.74,0,13,0,0.07,0,0.0,-1.0,-1.0
429365,CMP007,Search,Tablet,IN,Outdoor,3,261.64,1,88,1,0.71,0,0.0,-1.0,-1.0
164820,CMP008,Social,Desktop,IN,Tech,5,118.01,1,86,1,0.75,1,123.63,163.84,163.84
887201,CMP006,Email,Tablet,FR,Health,0,152.98,1,86,1,0.88,0,0.0,-1.0,-1.0
421879,CMP005,Display,Mobile,FR,Fashion,1,113.42,0,5,0,0.02,0,0.0,-1.0,-1.0
818315,CMP006,Social,Desktop,DE,Outdoor,2,48.32,0,11,0,0.06,1,82.39,1372.167,1372.1666666666667
427069,CMP005,Email,Desktop,DE,Food,5,155.63,0,8,0,0.03,0,0.0,-1.0,-1.0
876997,CMP008,Search,Mobile,UK,Outdoor,2,57.6,0,12,0,0.08,0,0.0,-1.0,-1.0
299041,CMP001,Search,Mobile,DE,Fashion,1,276.17,1,94,6,2.08,0,0.0,-1.0,-1.0
891743,CMP007,Social,Tablet,AE,Fashion,3,83.76,1,98,0,0.63,0,0.0,-1.0,-1.0
203355,CMP010,Display,Mobile,UK,Food,1,161.57,1,79,1,0.68,0,0.0,-1.0,-1.0
335796,CMP010,Search,Desktop,IN,Outdoor,0,279.15,0,12,0,0.05,0,0.0,-1.0,-1.0
314176,CMP002,Social,Mobile,DE,Health,2,92.96,0,10,1,0.3,0,0.0,-1.0,-1.0
284779,CMP009,Display,Mobile,AE,Health,2,253.18,1,92,1,0.55,0,0.0,-1.0,-1.0
447449,CMP001,Display,Mobile,DE,Outdoor,2,157.63,1,94,2,0.97,0,0.0,-1.0,-1.0
521909,CMP010,Display,Mobile,DE,Health,1,55.8,1,98,4,1.69,0,0.0,-1.0,-1.0
358795,CMP006,Social,Desktop,UK,Outdoor,2,210.91,1,92,1,0.69,0,0.0,-1.0,-1.0
586232,CMP009,Search,Mobile,UK,Outdoor,3,388.97,1,74,4,1.44,1,141.12,97.0,97.00000000000001
600186,CMP001,Social,Mobile,US,Fashion,4,110.63,0,8,0,0.04,0,0.0,-1.0,-1.0
256730,CMP004,Search,Mobile,UK,Tech,1,401.26,1,92,4,1.35,1,129.66,95.044,95.04444444444444
970910,CMP004,Email,Mobile,UK,Fashion,0,160.22,0,8,0,0.04,0,0.0,-1.0,-1.0
484681,CMP009,Social,Mobile,FR,Health,3,103.88,0,10,0,0.03,0,0.0,-1.0,-1.0
249503,CMP005,Search,Desktop,DE,Tech,2,71.44,0,10,0,0.07,0,0.0,-1.0,-1.0
754811,CMP005,Display,Mobile,UK,Outdoor,1,247.5,0,17,0,0.12,0,0.0,-1.0,-1.0
627035,CMP006,Social,Mobile,DE,Health,1,46.27,0,20,1,0.41,0,0.0,-1.0,-1.0
748143,CMP001,Search,Mobile,DE,Food,0,64.88,1,98,7,2.51,1,142.46,55.757,55.75697211155379
552366,CMP001,Video,Mobile,FR,Health,3,163.51,0,7,0,0.05,0,0.0,-1.0,-1.0
165725,CMP009,Video,Mobile,DE,Tech,4,112.41,1,96,1,0.9,0,0.0,-1.0,-1.0
229981,CMP003,Display,Mobile,AE,Tech,2,55.19,1,102,2,1.07,0,0.0,-1.0,-1.0
184654,CMP004,Search,Desktop,UK,Outdoor,2,69.02,1,94,2,0.9,0,0.0,-1.0,-1.0
691723,CMP001,Social,Desktop,DE,Food,2,143.37,1,77,0,0.53,0,0.0,-1.0,-1.0
419030,CMP009,Display,Desktop,US,Outdoor,4,469.63,1,74,3,1.08,0,0.0,-1.0,-1.0
428947,CMP008,Search,Mobile,US,Food,3,68.18,0,10,1,0.31,0,0.0,-1.0,-1.0
655839,CMP002,Search,Mobile,FR,Food,2,128.28,1,101,6,2.16,0,0.0,-1.0,-1.0
373538,CMP008,Video,Mobile,AE,Outdoor,1,216.31,1,98,1,0.82,0,0.0,-1.0,-1.0
431236,CMP007,Search,Desktop,UK,Health,0,134.18,1,81,1,0.76,0,0.0,-1.0,-1.0
628178,CMP006,Display,Tablet,FR,Fashion,1,85.69,1,86,2,0.89,0,0.0,-1.0,-1.0
665894,CMP001,Social,Mobile,US,Food,2,84.52,1,89,1,0.85,0,0.0,-1.0,-1.0
589492,CMP007,Social,Mobile,AE,Tech,2,227.33,1,93,1,0.95,0,0.0,-1.0,-1.0
356840,CMP010,Search,Desktop,UK,Outdoor,3,13.76,1,84,3,1.21,0,0.0,-1.0,-1.0
573254,CMP007,Video,Desktop,DE,Health,1,111.67,1,86,2,0.82,0,0.0,-1.0,-1.0
449457,CMP009,Social,Desktop,UK,Food,0,76.49,0,6,0,0.04,0,0.0,-1.0,-1.0
765987,CMP001,Social,Mobile,IN,Health,1,22.53,1,84,1,0.65,0,0.0,-1.0,-1.0
370936,CMP002,Display,Tablet,UK,Outdoor,3,103.58,1,98,2,1.0,0,0.0,-1.0,-1.0
339931,CMP009,Display,Mobile,DE,Tech,4,60.23,0,11,0,0.04,1,170.37,4258.25,4258.25
339629,CMP009,Email,Desktop,IN,Food,0,39.1,1,99,0,0.6,0,0.0,-1.0,-1.0
305041,CMP006,Social,Tablet,AE,Food,3,245.58,0,11,0,0.08,0,0.0,-1.0,-1.0
798361,CMP006,Social,Desktop,FR,Health,8,45.74,0,8,0,0.05,0,0.0,-1.0,-1.0
831912,CMP004,Email,Mobile,AE,Outdoor,1,35.81,0,4,0,0.03,0,0.0,-1.0,-1.0
517113,CMP004,Display,Mobile,UK,Fashion,1,26.94,1,103,2,0.93,0,0.0,-1.0,-1.0
168148,CMP005,Search,Mobile,FR,Food,1,123.96,0,14,0,0.1,0,0.0,-1.0,-1.0
877089,CMP003,Search,Mobile,UK,Tech,1,134.35,0,9,1,0.31,0,0.0,-1.0,-1.0
748531,CMP001,Video,Desktop,US,Food,1,380.51,1,79,1,0.76,0,0.0,-1.0,-1.0
351995,CMP001,Social,Mobile,US,Food,6,77.68,0,15,0,0.1,0,0.0,-1.0,-1.0
778843,CMP007,Display,Mobile,DE,Fashion,2,67.55,0,14,0,0.08,0,0.0,-1.0,-1.0
672843,CMP001,Social,Desktop,AE,Fashion,3,34.6,1,86,4,1.42,1,168.85,117.908,117.90845070422536
356508,CMP001,Search,Mobile,US,Outdoor,3,140.05,0,10,2,0.58,0,0.0,-1.0,-1.0
903591,CMP003,Display,Mobile,IN,Food,5,25.81,1,91,2,0.85,0,0.0,-1.0,-1.0
996942,CMP010,Search,Mobile,IN,Food,2,59.51,0,9,1,0.29,0,0.0,-1.0,-1.0
206530,CMP004,Social,Mobile,UK,Health,1,118.78,1,81,2,0.77,0,0.0,-1.0,-1.0
704365,CMP004,Social,Mobile,FR,Health,1,61.51,0,10,1,0.32,0,0.0,-1.0,-1.0
922352,CMP002,Social,Desktop,IN,Tech,2,60.03,1,88,0,0.64,0,0.0,-1.0,-1.0
560337,CMP001,Display,Mobile,UK,Tech,2,51.18,0,8,0,0.03,0,0.0,-1.0,-1.0
824839,CMP003,Video,Desktop,FR,Health,1,255.39,0,9,0,0.03,0,0.0,-1.0,-1.0
